size,function,avg_ms,stddev_ms
64,mv_row_major,0.009,0.002
64,mv_col_major,0.009,0.003
64,mm_naive,0.734,0.179
64,mm_transposed_b,0.707,0.178
128,mv_row_major,0.022,0.009
128,mv_col_major,0.025,0.013
128,mm_naive,3.990,1.901
128,mm_transposed_b,3.419,1.156
256,mv_row_major,0.075,0.010
256,mv_col_major,0.168,0.008
256,mm_naive,41.091,0.343
256,mm_transposed_b,24.282,0.232
512,mv_row_major,0.295,0.007
512,mv_col_major,0.772,0.015
512,mm_naive,375.92,1.598
512,mm_transposed_b,198.42,1.374
1024,mv_row_major,1.191,0.108
1024,mv_col_major,3.214,0.085
1024,mm_naive,3200.74,31.656
1024,mm_transposed_b,1601.98,7.050
