size,function,alloc,avg_ms,stddev_ms
64,mm_naive,unaligned,0.107756,0.0097526
64,mm_naive,aligned,0.104819,0.00324422
64,mm_transposed_b,unaligned,0.0450375,0.00122271
64,mm_transposed_b,aligned,0.0457082,0.00202533
128,mm_naive,unaligned,1.08507,0.117633
128,mm_naive,aligned,1.12511,0.209355
128,mm_transposed_b,unaligned,0.486575,0.0297631
128,mm_transposed_b,aligned,0.492367,0.0452876
256,mm_naive,unaligned,11.7691,0.0772971
256,mm_naive,aligned,17.6723,0.103578
256,mm_transposed_b,unaligned,5.08572,0.0177029
256,mm_transposed_b,aligned,5.10502,0.0373562
512,mm_naive,unaligned,142.08,5.23688
512,mm_naive,aligned,149.799,7.51535
512,mm_transposed_b,unaligned,49.8461,0.934968
512,mm_transposed_b,aligned,49.7914,1.11362
1024,mm_naive,unaligned,1368.56,11.3695
1024,mm_naive,aligned,1368.77,9.36952
1024,mm_transposed_b,unaligned,459.474,3.4239
1024,mm_transposed_b,aligned,458.665,3.40567
